DSPAWN,DSTART,TIME,TANK_ID,AQUARIA_ID,TILE_ID,COLUMN_NO,ROW_NO,COLUMN_UNIQUE,ROW_UNIQUE,DENSITY,GENUS,SPECIES,ADULT,REP_AQUARIA,REP_TILE,SETTLE_PHOTO,SETTLE_COUNT,OBSERVER,TOOL,SETTLE_TISSUE,SETTLE_S,SETTLE_D,SETTLE_P,SETTLE_DEN,STP1_COUNT,STP1_OBSERVER,STP1_TOOL,STP1_DEAD,STP1_S,STP1_D,STP1_P,TREAT_STP1_P,STP1_DEN,STP2_OBSERVER,TOOL,STP2_DEAD,STP2_S,STP2_D,SET_STP2_D,STP2_P,STP2_DEN,SET_STP2_P,TREAT_STP2_P
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,100,1,4,17,28,200,Anacropora,Anacropora_spinosa,ABSENT,A1,T1,22-Apr-17,23-Apr-17,Carrie,Disecting,no,127,73,0.635,1.85,29-Apr-17,Carrie,Disecting,no,122,5,0.96,0.61,1.777,Carrie,Disecting,no,116,6,11,0.95,1.69,0.91,0.58
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,101,2,1,18,25,10,Anacropora,Anacropora_spinosa,ABSENT,A1,T2,22-Apr-17,23-Apr-17,Carrie,Disecting,no,8,2,0.8,0.117,29-Apr-17,Carrie,Disecting,no,8,0,1,0.8,0.117,Carrie,Disecting,no,7,1,1,0.88,0.1,0.88,0.7
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,102,2,2,18,26,200,Anacropora,Anacropora_spinosa,ABSENT,A1,T2,22-Apr-17,23-Apr-17,Carrie,Disecting,no,136,64,0.68,1.981,29-Apr-17,Carrie,Disecting,no,136,0,1,0.68,1.981,Carrie,Disecting,no,132,4,4,0.97,1.92,0.97,0.66
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,103,2,3,18,27,50,Anacropora,Anacropora_spinosa,ABSENT,A1,T2,22-Apr-17,24-Apr-17,Carrie,Disecting,no,18,32,0.36,0.262,29-Apr-17,Carrie,Disecting,no,18,0,1,0.36,0.262,Carrie,Disecting,no,16,2,2,0.89,0.23,0.89,0.32
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,104,2,4,18,28,100,Anacropora,Anacropora_spinosa,ABSENT,A1,T2,22-Apr-17,24-Apr-17,Carrie,Disecting,no,81,19,0.81,1.18,29-Apr-17,Carrie,Disecting,no,80,1,0.99,0.8,1.165,Carrie,Disecting,no,78,2,3,0.98,1.14,0.96,0.78
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,105,3,1,19,25,100,Anacropora,Anacropora_spinosa,ABSENT,A1,T3,22-Apr-17,24-Apr-17,Carrie,Disecting,no,75,25,0.75,1.092,29-Apr-17,Carrie,Disecting,no,72,3,0.96,0.72,1.049,Carrie,Disecting,no,65,7,10,0.9,0.95,0.87,0.65
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,106,3,2,19,26,10,Anacropora,Anacropora_spinosa,ABSENT,A1,T3,22-Apr-17,24-Apr-17,Carrie,Disecting,no,3,7,0.3,0.044,29-Apr-17,Carrie,Disecting,no,3,0,1,0.3,0.044,Carrie,Disecting,no,3,0,0,1,0.04,1,0.3
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,107,3,3,19,27,200,Anacropora,Anacropora_spinosa,ABSENT,A1,T3,22-Apr-17,24-Apr-17,Carrie,Disecting,no,86,114,0.43,1.253,29-Apr-17,Carrie,Disecting,no,85,1,0.99,0.425,1.238,Carrie,Disecting,no,82,3,4,0.96,1.19,0.95,0.41
13-Apr-17,18-Apr-17,5-7pm,TANK2,9,108,3,4,19,28,50,Anacropora,Anacropora_spinosa,ABSENT,A1,T3,22-Apr-17,24-Apr-17,Carrie,Disecting,no,33,17,0.66,0.481,29-Apr-17,Carrie,Disecting,no,29,4,0.88,0.58,0.422,Carrie,Disecting,no,29,0,4,1,0.42,0.88,0.58
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,121,1,1,20,29,200,Acropora,Acropora_digitifera,ABSENT,A2,T1,22-Apr-17,22-Apr-17,John,Disecting,no,45,155,0.225,0.655,29-Apr-17,Sun,Dinoscope,no,43,2,0.96,0.215,0.626,Nick,Disecting,no,0,43,45,0,0,0,0
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,122,1,2,20,30,100,Acropora,Acropora_digitifera,ABSENT,A2,T1,22-Apr-17,22-Apr-17,John,Disecting,no,30,70,0.3,0.437,29-Apr-17,Sun,Dinoscope,no,13,17,0.43,0.13,0.189,Nick,Disecting,no,3,10,27,0.23,0.04,0.1,0.03
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,123,1,3,20,31,10,Acropora,Acropora_digitifera,ABSENT,A2,T1,22-Apr-17,22-Apr-17,John,Disecting,no,3,7,0.3,0.044,29-Apr-17,Sun,Dinoscope,no,2,1,0.67,0.2,0.029,Nick,Disecting,no,2,0,1,1,0.03,0.67,0.2
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,124,1,4,20,32,50,Acropora,Acropora_digitifera,ABSENT,A2,T1,22-Apr-17,22-Apr-17,John,Disecting,no,37,13,0.74,0.539,29-Apr-17,Sun,Dinoscope,no,15,22,0.41,0.3,0.218,Nick,Disecting,no,9,6,28,0.6,0.13,0.24,0.18
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,125,2,1,21,29,50,Acropora,Acropora_digitifera,ABSENT,A2,T2,22-Apr-17,22-Apr-17,John,Disecting,no,28,22,0.56,0.408,29-Apr-17,Sun,Dinoscope,no,22,6,0.79,0.44,0.32,Nick,Disecting,no,0,22,28,0,0,0,0
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,127,2,3,21,31,200,Acropora,Acropora_digitifera,ABSENT,A2,T2,22-Apr-17,22-Apr-17,John,Disecting,no,11,189,0.055,0.16,29-Apr-17,Sun,Dinoscope,no,8,3,0.73,0.04,0.117,Nick,Disecting,no,2,6,9,0.25,0.03,0.18,0.01
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,128,2,4,21,32,100,Acropora,Acropora_digitifera,ABSENT,A2,T2,22-Apr-17,22-Apr-17,John,Disecting,no,26,74,0.26,0.379,29-Apr-17,Sun,Dinoscope,no,22,4,0.85,0.22,0.32,Nick,Disecting,no,11,11,15,0.5,0.16,0.42,0.11
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,129,3,1,22,29,200,Acropora,Acropora_digitifera,ABSENT,A2,T3,22-Apr-17,22-Apr-17,John,Disecting,no,6,194,0.03,0.087,29-Apr-17,Sun,Dinoscope,no,5,1,0.83,0.025,0.073,Nick,Disecting,no,3,2,3,0.6,0.04,0.5,0.015
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,130,3,2,22,30,100,Acropora,Acropora_digitifera,ABSENT,A2,T3,22-Apr-17,22-Apr-17,John,Disecting,no,20,80,0.2,0.291,29-Apr-17,Sun,Dinoscope,no,18,2,0.9,0.18,0.262,Nick,Disecting,no,4,14,16,0.22,0.06,0.2,0.04
12-Apr-17,18-Apr-17,4-5pm,TANK2,11,131,3,3,22,31,50,Acropora,Acropora_digitifera,ABSENT,A2,T3,22-Apr-17,22-Apr-17,John,Disecting,no,32,18,0.64,0.466,29-Apr-17,Sun,Dinoscope,no,32,0,1,0.64,0.466,Nick,Disecting,no,7,25,25,0.22,0.1,0.22,0.14
13-Apr-17,19-Apr-17,6-7pm,TANK2,12,133,1,1,23,33,50,Acropora,Acropora_gemmifera,PRESENT,A2,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,49,0.02,0.015,01-May-17,Simo,Dinoscope,yes,1,0,1,0.02,0.015,Simo,Disecting,yes,1,0,0,1,0.01,1,0.02
13-Apr-17,19-Apr-17,6-7pm,TANK2,12,138,2,2,24,34,200,Acropora,Acropora_gemmifera,PRESENT,A2,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,199,0.005,0.015,01-May-17,Simo,Dinoscope,yes,1,0,1,0.005,0.015,Simo,Disecting,yes,1,0,0,1,0.01,1,0.005
13-Apr-17,19-Apr-17,6-7pm,TANK2,12,140,2,4,24,36,100,Acropora,Acropora_gemmifera,PRESENT,A2,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,99,0.01,0.015,01-May-17,Simo,Dinoscope,yes,0,1,0,0,0,Simo,Disecting,yes,0,0,1,0,0,0,0
13-Apr-17,18-Apr-17,5-7pm,TANK3,14,157,1,1,26,37,200,Anacropora,Anacropora_spinosa,PRESENT,A3,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,100,100,0.5,1.456,01-May-17,Carrie,Disecting,no,82,18,0.82,0.41,1.194,Carrie,Disecting,yes,78,4,22,0.95,1.14,0.78,0.39
13-Apr-17,18-Apr-17,5-7pm,TANK3,14,158,1,2,26,38,100,Anacropora,Anacropora_spinosa,PRESENT,A3,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,59,41,0.59,0.859,01-May-17,Carrie,Disecting,no,54,5,0.92,0.54,0.786,Carrie,Disecting,yes,48,6,11,0.89,0.7,0.81,0.48
13-Apr-17,18-Apr-17,5-7pm,TANK3,14,159,1,3,26,39,10,Anacropora,Anacropora_spinosa,PRESENT,A3,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,2,8,0.2,0.029,01-May-17,Carrie,Disecting,no,2,0,1,0.2,0.029,Carrie,Disecting,yes,2,0,0,1,0.03,1,0.2
13-Apr-17,18-Apr-17,5-7pm,TANK3,14,160,1,4,26,40,50,Anacropora,Anacropora_spinosa,PRESENT,A3,T1,23-Apr-17,26-Apr-17,Carrie,Disecting,no,16,34,0.32,0.233,01-May-17,Carrie,Disecting,no,14,2,0.88,0.28,0.204,Carrie,Disecting,yes,13,1,3,0.93,0.19,0.81,0.26
13-Apr-17,18-Apr-17,5-7pm,TANK3,14,161,2,1,27,37,50,Anacropora,Anacropora_spinosa,PRESENT,A3,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,25,25,0.5,0.364,01-May-17,Carrie,Disecting,no,25,0,1,0.5,0.364,Carrie,Disecting,yes,22,3,3,0.88,0.32,0.88,0.44
13-Apr-17,18-Apr-17,5-7pm,TANK3,14,162,2,2,27,38,10,Anacropora,Anacropora_spinosa,PRESENT,A3,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,2,8,0.2,0.029,01-May-17,Carrie,Disecting,no,1,1,0.5,0.1,0.015,Carrie,Disecting,yes,1,0,1,1,0.01,0.5,0.1
13-Apr-17,18-Apr-17,5-7pm,TANK3,14,164,2,4,27,39,100,Anacropora,Anacropora_spinosa,PRESENT,A3,T2,23-Apr-17,26-Apr-17,Carrie,Disecting,no,50,50,0.5,0.728,01-May-17,Carrie,Disecting,no,48,2,0.96,0.48,0.699,Carrie,Disecting,yes,45,3,5,0.94,0.66,0.9,0.45
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,169,1,1,28,41,50,Acropora,Acropora_digitifera,ABSENT,A3,T1,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,10,40,0.2,0.146,29-Apr-17,Sun,Dinoscope,no,8,2,0.8,0.16,0.117,Carrie,Disecting,no,3,5,7,0.38,0.04,0.3,0.06
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,170,1,2,28,42,100,Acropora,Acropora_digitifera,ABSENT,A3,T1,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,8,92,0.08,0.117,29-Apr-17,Sun,Dinoscope,no,7,1,0.88,0.07,0.102,Carrie,Disecting,no,2,5,6,0.29,0.03,0.25,0.02
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,171,1,3,28,43,10,Acropora,Acropora_digitifera,ABSENT,A3,T1,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,8,2,0.8,0.117,29-Apr-17,Sun,Dinoscope,no,5,3,0.63,0.5,0.073,Carrie,Disecting,no,5,0,3,1,0.07,0.63,0.5
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,172,1,4,28,44,200,Acropora,Acropora_digitifera,ABSENT,A3,T1,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,70,130,0.35,1.02,29-Apr-17,Sun,Dinoscope,no,69,1,0.99,0.345,1.005,Carrie,Disecting,no,29,40,41,0.42,0.42,0.41,0.145
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,174,2,2,29,42,200,Acropora,Acropora_digitifera,ABSENT,A3,T2,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,116,84,0.58,1.689,29-Apr-17,Sun,Dinoscope,no,114,2,0.98,0.57,1.66,Carrie,Disecting,no,17,97,99,0.15,0.25,0.15,0.085
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,175,2,3,29,43,50,Acropora,Acropora_digitifera,ABSENT,A3,T2,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,38,12,0.76,0.553,29-Apr-17,Sun,Dinoscope,no,36,2,0.95,0.72,0.524,Carrie,Disecting,no,26,10,12,0.72,0.38,0.68,0.52
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,176,2,4,29,44,100,Acropora,Acropora_digitifera,ABSENT,A3,T2,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,5,95,0.05,0.073,29-Apr-17,Sun,Dinoscope,no,5,0,1,0.05,0.073,Carrie,Disecting,no,2,3,3,0.4,0.03,0.4,0.02
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,177,3,1,30,41,100,Acropora,Acropora_digitifera,ABSENT,A3,T3,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,26,74,0.26,0.379,29-Apr-17,Sun,Dinoscope,no,23,3,0.88,0.23,0.335,Carrie,Disecting,no,16,7,10,0.7,0.23,0.62,0.16
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,178,3,2,30,42,10,Acropora,Acropora_digitifera,ABSENT,A3,T3,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,5,5,0.5,0.073,29-Apr-17,Sun,Dinoscope,no,3,2,0.6,0.3,0.044,Carrie,Disecting,no,1,2,4,0.33,0.01,0.2,0.1
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,179,3,3,30,43,200,Acropora,Acropora_digitifera,ABSENT,A3,T3,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,173,27,0.865,2.52,29-Apr-17,Sun,Dinoscope,no,170,3,0.98,0.85,2.476,Carrie,Disecting,no,15,155,158,0.09,0.22,0.09,0.075
12-Apr-17,18-Apr-17,4-5pm,TANK3,15,180,3,4,30,44,50,Acropora,Acropora_digitifera,ABSENT,A3,T3,22-Apr-17,23-Apr-17,Carrie,Dinoscope,no,40,10,0.8,0.583,29-Apr-17,Sun,Dinoscope,no,39,1,0.98,0.78,0.568,Carrie,Disecting,no,16,23,24,0.41,0.23,0.4,0.32
13-Apr-17,19-Apr-17,6-7pm,TANK3,16,184,1,4,31,48,200,Acropora,Acropora_gemmifera,PRESENT,A3,T1,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,2,198,0.01,0.029,01-May-17,Simo,Dinoscope,no,0,2,0,0,0,Carrie,Disecting,yes,0,0,2,0,0,0,0
13-Apr-17,19-Apr-17,6-7pm,TANK3,16,187,2,3,32,47,200,Acropora,Acropora_gemmifera,PRESENT,A3,T2,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,199,0.005,0.015,01-May-17,Carrie,Disecting,no,0,1,0,0,0,Carrie,Disecting,yes,0,0,1,0,0,0,0
13-Apr-17,19-Apr-17,6-7pm,TANK3,16,189,3,1,33,45,100,Acropora,Acropora_gemmifera,PRESENT,A3,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,2,98,0.02,0.029,01-May-17,Carrie,Disecting,no,0,2,0,0,0,Carrie,Disecting,yes,0,0,2,0,0,0,0
13-Apr-17,19-Apr-17,6-7pm,TANK3,16,191,3,3,33,47,10,Acropora,Acropora_gemmifera,PRESENT,A3,T3,23-Apr-17,26-Apr-17,Sun,Dinoscope,no,1,9,0.1,0.015,01-May-17,Carrie,Disecting,no,0,1,0,0,0,Carrie,Disecting,yes,0,0,1,0,0,0,0
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,193,1,1,34,49,200,Acropora,Acropora_gemmifera,ABSENT,A2,T1,23-Apr-17,24-Apr-17,Sun,Dinoscope,no,22,178,0.11,0.32,01-May-17,Sun,Dinoscope,no,20,2,0.91,0.1,0.291,Carrie,Disecting,no,8,12,14,0.4,0.12,0.36,0.04
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,194,1,2,34,50,100,Acropora,Acropora_gemmifera,ABSENT,A2,T1,23-Apr-17,24-Apr-17,Sun,Dinoscope,no,3,97,0.03,0.044,01-May-17,Sun,Dinoscope,no,2,1,0.67,0.02,0.029,Carrie,Disecting,no,2,0,1,1,0.03,0.67,0.02
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,195,1,3,34,51,10,Acropora,Acropora_gemmifera,ABSENT,A2,T1,23-Apr-17,24-Apr-17,Sun,Dinoscope,no,5,5,0.5,0.073,01-May-17,Sun,Dinoscope,no,0,5,0,0,0,Carrie,Disecting,no,0,0,5,0,0,0,0
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,196,1,4,34,52,50,Acropora,Acropora_gemmifera,ABSENT,A2,T1,23-Apr-17,24-Apr-17,Sun,Dinoscope,no,7,43,0.14,0.102,01-May-17,Sun,Dinoscope,no,6,1,0.86,0.12,0.087,Carrie,Disecting,no,4,2,3,0.67,0.06,0.57,0.08
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,197,2,1,35,49,50,Acropora,Acropora_gemmifera,ABSENT,A2,T2,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,26,24,0.52,0.379,01-May-17,Sun,Dinoscope,no,23,3,0.88,0.46,0.335,Carrie,Disecting,no,19,4,7,0.83,0.28,0.73,0.38
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,198,2,2,35,50,10,Acropora,Acropora_gemmifera,ABSENT,A2,T2,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,5,5,0.5,0.073,01-May-17,Sun,Dinoscope,no,4,1,0.8,0.4,0.058,Carrie,Disecting,no,4,0,1,1,0.06,0.8,0.4
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,199,2,3,35,51,200,Acropora,Acropora_gemmifera,ABSENT,A2,T2,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,46,154,0.23,0.67,01-May-17,Sun,Dinoscope,no,25,21,0.54,0.125,0.364,Carrie,Disecting,no,23,2,23,0.92,0.33,0.5,0.115
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,200,2,4,35,52,100,Acropora,Acropora_gemmifera,ABSENT,A2,T2,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,65,35,0.65,0.947,01-May-17,Sun,Dinoscope,no,48,17,0.74,0.48,0.699,Carrie,Disecting,no,27,21,38,0.56,0.39,0.42,0.27
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,201,3,1,36,49,200,Acropora,Acropora_gemmifera,ABSENT,A2,T3,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,64,136,0.32,0.932,01-May-17,Sun,Dinoscope,no,58,6,0.91,0.29,0.845,Carrie,Disecting,no,19,39,45,0.33,0.28,0.3,0.095
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,202,3,2,36,50,100,Acropora,Acropora_gemmifera,ABSENT,A2,T3,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,73,27,0.73,1.063,01-May-17,Sun,Dinoscope,no,66,7,0.9,0.66,0.961,Carrie,Disecting,no,40,26,33,0.61,0.58,0.55,0.4
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,203,3,3,36,51,50,Acropora,Acropora_gemmifera,ABSENT,A2,T3,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,24,26,0.48,0.35,01-May-17,Sun,Dinoscope,no,22,2,0.92,0.44,0.32,Carrie,Disecting,no,11,11,13,0.5,0.16,0.46,0.22
13-Apr-17,19-Apr-17,12-1pm,TANK3,17,204,3,4,36,52,10,Acropora,Acropora_gemmifera,ABSENT,A2,T3,23-Apr-17,25-Apr-17,Sun,Dinoscope,no,4,6,0.4,0.058,01-May-17,Sun,Dinoscope,no,3,1,0.75,0.3,0.044,Carrie,Disecting,no,2,1,2,0.67,0.03,0.5,0.2
12-Apr-17,18-Apr-17,4-5pm,TANK3,18,205,1,1,37,53,50,Acropora,Acropora_digitifera,PRESENT,A2,T1,22-Apr-17,26-Apr-17,Sun,Dinoscope,no,48,2,0.96,0.699,30-Apr-17,Sun,Dinoscope,no,46,2,0.96,0.92,0.67,Nick,Disecting,no,8,38,40,0.17,0.12,0.17,0.16
